Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974804;Vis;Pelicans;1;1;1;1;93;103;D;30;76;9;30;24;32;48;4;38;17;5;7;17;14;2;34;26;1;0;33;88;10;29;27;33;67;18;45;17;7;7;19;11;4;38;22;1;0
400974804;L;Trail Blazers;1;1;1;1;103;93;V;33;88;10;29;27;33;67;18;45;17;7;7;19;11;4;38;22;1;0;30;76;9;30;24;32;48;4;38;17;5;7;17;14;2;34;26;1;0
400974805;Vis;Jazz;1;1;1;1;84;102;V;34;79;7;28;9;11;47;8;33;20;7;7;18;26;16;34;23;0;0;39;83;10;29;14;21;51;11;33;21;12;4;13;17;14;52;16;0;0
400974805;L;Clippers;1;1;1;1;102;84;D;39;83;10;29;14;21;51;11;33;21;12;4;13;17;14;52;16;0;0;34;79;7;28;9;11;47;8;33;20;7;7;18;26;16;34;23;0;0
400974806;Vis;Nuggets;1;1;0;1;93;110;V;38;100;8;31;9;15;58;18;33;18;6;1;14;16;7;52;23;0;0;38;81;13;31;21;26;58;10;40;17;5;5;14;12;11;30;16;0;0
400974806;L;Hornets;0;1;1;1;110;93;D;38;81;13;31;21;26;58;10;40;17;5;5;14;12;11;30;16;0;0;38;100;8;31;9;15;58;18;33;18;6;1;14;16;7;52;23;0;0
400974807;Vis;Timberwolves;1;2;0;1;101;122;V;37;85;9;25;18;21;46;7;30;19;5;4;14;18;0;38;19;0;0;48;92;15;34;11;17;55;12;35;32;7;3;15;15;24;52;22;0;0
400974807;L;Pistons;0;1;1;2;122;101;D;48;92;15;34;11;17;55;12;35;32;7;3;15;15;24;52;22;0;0;37;85;9;25;18;21;46;7;30;19;5;4;14;18;0;38;19;0;0
400974808;Vis;Rockets;1;2;0;1;105;104;V;36;75;12;39;21;24;43;7;33;22;11;13;19;23;9;40;13;0;0;43;97;12;36;6;10;57;12;31;29;14;7;16;14;10;48;19;0;0
400974808;L;76ers;0;1;1;2;104;105;D;43;97;12;36;6;10;57;12;31;29;14;7;16;14;10;48;19;0;0;36;75;12;39;21;24;43;7;33;22;11;13;19;23;9;40;13;0;0
400974809;Vis;Cavaliers;0;2;0;0;107;112;D;39;81;12;35;17;26;61;9;38;21;5;7;21;24;16;38;17;0;0;40;93;17;46;15;21;49;10;28;22;11;3;13;20;14;32;22;0;0
400974809;L;Nets;0;0;0;2;112;107;V;40;93;17;46;15;21;49;10;28;22;11;3;13;20;14;32;22;0;0;39;81;12;35;17;26;61;9;38;21;5;7;21;24;16;38;17;0;0
400974810;Vis;Spurs;1;2;0;1;117;100;V;42;76;10;17;23;30;51;8;36;18;6;3;13;17;1;44;20;0;0;37;80;9;26;17;18;34;4;28;19;6;2;9;12;9;44;25;0;0
