Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974821;0;Rockets;1;2;0;1;109;93;1;38;85;22;57;11;13;58;7;44;21;5;6;16;14;5;30;26;1;0;33;88;11;29;16;28;58;11;33;16;6;5;9;13;13;34;14;0;0
400974821;1;Hornets;0;1;1;2;93;109;0;33;88;11;29;16;28;58;11;33;16;6;5;9;13;13;34;14;0;0;38;85;22;57;11;13;58;7;44;21;5;6;16;14;5;30;26;1;0
400974822;0;Spurs;1;2;0;0;87;114;1;30;89;4;24;23;27;55;17;32;19;8;8;18;29;6;46;15;0;0;48;84;11;23;7;14;51;6;39;22;9;7;19;13;12;56;24;1;0
400974822;1;Magic;0;0;1;2;114;87;0;48;84;11;23;7;14;51;6;39;22;9;7;19;13;12;56;24;1;0;30;89;4;24;23;27;55;17;32;19;8;8;18;29;6;46;15;0;0
400974823;0;Nuggets;1;1;0;0;105;100;1;42;91;4;20;17;23;62;11;35;25;8;4;12;18;7;60;12;0;0;37;89;14;33;12;12;45;11;32;23;7;4;12;14;2;30;21;0;0
400974823;1;Hawks;0;0;1;1;100;105;0;37;89;14;33;12;12;45;11;32;23;7;4;12;14;2;30;21;0;0;42;91;4;20;17;23;62;11;35;25;8;4;12;18;7;60;12;0;0
400974824;0;Nets;0;0;0;0;86;107;1;30;75;11;30;15;21;44;5;30;18;5;1;16;14;2;26;20;1;0;44;98;9;27;10;17;68;19;36;19;7;6;12;9;4;50;19;1;0
400974824;1;Knicks;0;0;0;0;107;86;0;44;98;9;27;10;17;68;19;36;19;7;6;12;9;4;50;19;1;0;30;75;11;30;15;21;44;5;30;18;5;1;16;14;2;26;20;1;0
400974825;0;Thunder;1;1;1;2;116;119;0;43;86;8;28;22;25;43;11;24;19;8;9;14;15;15;46;29;0;0;42;86;8;22;27;35;55;17;27;23;5;7;16;18;7;52;21;0;0
400974825;1;Timberwolves;1;2;1;1;119;116;1;42;86;8;22;27;35;55;17;27;23;5;7;16;18;7;52;21;0;0;43;86;8;28;22;25;43;11;24;19;8;9;14;15;15;46;29;0;0
400974826;0;Wizards;0;2;1;2;117;120;1;43;97;15;33;16;22;52;12;29;30;7;6;15;17;17;38;21;1;0;46;95;10;38;18;20;59;15;38;33;7;13;18;18;22;52;20;3;0
400974826;1;Warriors;1;2;0;2;120;117;0;46;95;10;38;18;20;59;15;38;33;7;13;18;18;22;52;20;3;0;43;97;15;33;16;22;52;12;29;30;7;6;15;17;17;38;21;1;0
400974827;0;Raptors;0;2;1;0;101;92;1;40;93;7;29;14;20;51;9;31;27;12;4;14;16;12;52;24;0;0;36;79;3;23;17;24;58;9;40;20;7;6;21;24;22;56;22;0;0
400974827;1;Lakers;1;0;0;2;92;101;0;36;79;3;23;17;24;58;9;40;20;7;6;21;24;22;56;22;0;0;40;93;7;29;14;20;51;9;31;27;12;4;14;16;12;52;24;0;0
400974828;0;Cavaliers;0;2;1;1;101;123;0;36;78;12;32;17;23;43;5;32;19;8;2;18;27;6;38;19;1;0;49;95;13;33;12;16;55;10;37;33;10;4;11;11;11;70;20;1;0
400974828;1;Pelicans;1;1;0;2;123;101;1;49;95;13;33;12;16;55;10;37;33;10;4;11;11;11;70;20;1;0;36;78;12;32;17;23;43;5;32;19;8;2;18;27;6;38;19;1;0
400974829;0;Celtics;0;2;0;1;96;90;0;34;81;6;23;22;26;48;11;30;15;11;5;12;13;4;44;14;1;1;34;79;7;31;15;16;49;6;34;17;6;9;19;21;4;44;23;0;0
